Model,Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Nikon Coolpix P5100,123,30,4,52,250,98,399
Nikon Coolpix S1,105,30,4,12,170,90,99
Nikon Coolpix S10,380,30,4,16,280,113,99
Nikon Coolpix S2,105,30,4,12,160,92,199
Nikon Coolpix S200,114,60,10,20,165,92,229
Nikon Coolpix S3,105,30,4,12,132,90,199
Nikon Coolpix S4,380,30,6,13,225,112,199
Nikon Coolpix S5,105,30,4,21,165,93,229
Nikon Coolpix S50,114,30,4,13,165,88,229
Nikon Coolpix S500,105,50,15,26,165,88,229
Nikon Coolpix S50c,114,30,4,13,165,88,329
Nikon Coolpix S51,114,30,4,13,175,93,279
Nikon Coolpix S510,105,50,15,52,125,88,399
Nikon Coolpix S51c,114,30,4,13,175,98,329
Nikon Coolpix S6,105,30,4,20,170,101,199
Nikon Coolpix S7c,105,30,4,14,170,101,199
Nikon Coolpix S9,114,25,4,24,165,91,199
Nikon Coolpix SQ,111,30,4,16,216,83,199
Nikon D1,0,0,0,0,1200,157,1599
Nikon D100,0,0,0,0,780,144,1599
Nikon D1H,0,0,0,0,1200,157,1599
Nikon D1X,0,0,0,0,1200,157,4699
Nikon D200,0,0,0,0,920,147,1599
Nikon D2H,0,0,0,0,1200,158,1599
Nikon D2Hs,0,0,0,0,1200,158,4699
Nikon D2X,0,0,0,0,1200,158,4699
Nikon D2Xs,0,0,0,0,1200,158,4699
Nikon D3,0,0,0,0,1300,160,4999
Nikon D300,0,0,0,0,925,147,1799
Nikon D40,0,0,0,0,522,124,549
Nikon D40X,0,0,0,0,522,124,549
Nikon D50,0,0,0,0,620,133,1599
Nikon D70,0,0,0,0,679,140,1599
Nikon D70s,0,0,0,0,679,140,1599
Nikon D80,0,0,0,0,668,132,1199
Olympus C-1,35,50,10,8,190,110,1699
Olympus D-370,35,60,25,1,190,123,1699
Olympus D-380,35,60,25,8,250,123,1699
Olympus D-150Z,114,50,20,8,190,110,1699
Olympus C-2,36,50,10,16,220,110,1699
Olympus C-2000 Zoom,105,80,20,8,380,108,129
Olympus D-510 Zoom,105,80,20,8,250,118,129
Olympus C-2020 Zoom,105,80,20,8,380,108,129
Olympus C-2040 Zoom,120,80,20,8,380,108,129
Olympus C-21,38,60,15,8,190,107,1699
Olympus C-2100 UZ,380,60,10,8,540,113,129
Olympus C-2500 L,110,80,2,32,530,109,129
Olympus C-3000 Zoom,96,80,20,8,380,109,1699
Olympus C-300 Zoom,100,80,20,16,300,118,1699
Olympus C-3020 Zoom,96,80,20,8,380,109,1699
Olympus C-3030 Zoom,96,80,20,16,380,109,1699
Olympus C-3040 Zoom,105,80,20,16,420,109,1699
Olympus C-4000 Zoom,96,80,2,16,400,110,129
Olympus C-4040 Zoom,105,80,20,16,420,110,129
Olympus D-40 Zoom,98,80,10,16,270,87,1699
Olympus C-5000 Zoom,114,50,4,32,280,105,449
Olympus C-5050 Zoom,105,80,20,32,480,114,449
Olympus C-5060 Zoom,110,80,3,32,480,116,449
Olympus C-50 Zoom,114,50,20,32,230,100,449
Olympus C-5500 Sport Zoom,190,60,8,16,340,110,129
Olympus C-60 Zoom,114,40,4,32,230,99,449
Olympus C-7000 Zoom,190,60,2,32,280,102,129
Olympus C-700 UZ,380,60,10,8,340,108,449
Olympus C-7070 Wide Zoom,110,80,3,32,480,116,129
Olympus C-720 UZ,320,60,10,16,340,108,449
Olympus C-730 UZ,380,60,10,16,400,108,449
Olympus C-740 UZ,380,60,3,16,340,108,449
Olympus C-750 UZ,380,60,3,16,340,108,449
Olympus C-765 UZ,380,60,7,16,310,105,449
Olympus C-770 UZ,380,60,7,32,310,105,449
Olympus C-8080 Wide Zoom,140,80,5,32,724,124,179
Olympus D-200L,36,75,20,2,320,145,129
Olympus D-300L,36,50,20,6,320,145,1699
Olympus D-340L,36,70,10,4,320,128,1699
Olympus D-340R,36,70,10,8,320,128,1699
Olympus D-360L,36,50,10,8,280,128,1699
Olympus D-390,35,50,20,16,230,108,1699
Olympus D-395,33,50,20,16,210,110,1699
Olympus D-400 Zoom,105,80,20,8,320,127,129
Olympus D-425,37,50,20,14,170,101,1699
Olympus D-435,35,50,20,0,140,101,1699
Olympus D-450 Zoom,105,80,20,8,320,127,129
Olympus D-460 Zoom,105,80,20,8,320,127,449
Olympus D-490 Zoom,105,80,20,8,320,127,129
Olympus D-500L,150,60,30,2,490,115,449
Olympus D-520 Zoom,105,50,20,8,220,112,449
Olympus D-535 Zoom,114,50,2,12,190,88,449
Olympus D-540 Zoom,114,50,2,16,200,100,449
Olympus D-545 Zoom,114,50,2,14,190,106,449
Olympus D-560 Zoom,105,50,20,16,220,108,449
Olympus D-580 Zoom,105,50,7,16,210,108,179
Olympus D-595 Zoom,114,50,2,14,190,105,449
Olympus D-600L,110,60,30,4,0,115,1699
Olympus D-620L,110,60,30,8,520,115,1699
Olympus D-630 Zoom,105,60,10,14,175,94,129
Olympus E-1,0,0,0,0,735,141,1699
Olympus E-10,140,60,20,0,1190,129,1699
Olympus E-100 RS,380,60,10,16,603,108,129
Olympus E-20,140,60,20,16,1190,129,1699
Olympus E-3,0,0,0,0,800,142,1699
Olympus E-300,0,0,0,0,624,147,1699
Olympus E-330,0,0,0,0,616,140,1699
Olympus E-400,0,0,0,0,435,130,1699
Olympus E-410,0,0,0,0,435,130,1699
Olympus E-500,0,0,0,0,479,130,1699
Olympus E-510,0,0,0,0,490,136,1699
Olympus FE-100,106,50,5,28,160,88,129
Olympus FE-110,106,50,5,28,160,88,129
Olympus FE-115,106,50,2,28,160,88,129
Olympus FE-120,114,50,5,14,160,106,129
Olympus FE-130,114,10,5,22,160,96,129
Olympus FE-140,114,10,5,22,160,96,129
Olympus FE-150,96,50,6,9,175,90,129
Olympus FE-170,114,0,0,10,175,90,129
Olympus FE-180,114,0,0,10,170,88,179
Olympus FE-190,114,0,0,22,150,91,129
Olympus FE-200,140,0,0,24,195,98,129
Olympus FE-210,114,60,10,9,175,90,129
Olympus FE-230,114,60,10,20,145,91,129
Olympus FE-240,190,70,10,20,145,91,129
Olympus FE-250,105,60,10,20,155,94,129
Olympus FE-270,114,60,5,6,122,90,129
Olympus FE-280,108,60,5,48,108,92,179
Olympus FE-290,112,40,5,6,142,98,129
Olympus FE-300,105,60,10,48,115,94,129
Olympus IR-300,114,50,5,15,160,99,129
Olympus Stylus 300 ,105,50,20,16,220,99,229
Olympus Stylus 400 ,105,50,20,16,220,99,229
Olympus SP-310,114,20,5,32,230,100,449
Olympus SP-320,114,20,2,25,230,100,449
Olympus SP-350,114,20,5,32,245,100,449
Olympus SP-500 UZ,380,60,3,10,385,106,449
Olympus SP-510 UZ,380,60,3,0,410,106,449
Olympus SP-550 UZ,504,10,1,20,460,116,449
Olympus SP-560 UZ,486,10,1,47,365,116,449
Olympus SP-700,114,30,10,11,180,98,449
Olympus Stylus 1000,105,60,10,0,195,97,229
Olympus Stylus 1200,105,60,10,47,125,98,249
Olympus Stylus 410 ,105,50,20,16,200,99,229
Olympus Stylus 500 ,105,50,7,32,200,99,229
Olympus Stylus 600 ,105,50,7,8,195,97,229
Olympus Stylus 700 ,111,60,8,19,140,95,229
Olympus Stylus 720 SW ,111,60,8,19,190,95,299
Olympus Stylus 725 SW,114,60,2,19,190,91,299
Olympus Stylus 730,114,50,7,22,190,96,229
Olympus Stylus 740,180,70,3,17,160,96,229
Olympus Stylus 750,180,70,3,17,170,96,229
Olympus Stylus 760,111,60,8,18,160,99,229
Olympus Stylus 770 SW,114,50,7,18,195,92,299
Olympus Stylus 780,180,70,3,18,195,100,299
Olympus Stylus 790 SW,114,50,7,14,155,92,299
Olympus Stylus 800 ,114,50,3,19,200,103,249
Olympus Stylus 810 ,105,60,10,28,185,97,249
Olympus Stylus 820,180,70,3,47,125,96,249
Olympus Stylus 830,180,70,3,14,125,100,249
Olympus Stylus Verve ,70,50,8,16,165,95,229
Olympus Stylus Verve  S,70,50,8,16,165,95,299
Panasonic Lumix DMC-F7,70,50,10,8,200,104,1499
Panasonic Lumix DMC-FX01,102,50,5,16,155,94,1499
Panasonic Lumix DMC-FX07,102,50,5,0,170,94,1499
Panasonic Lumix DMC-FX1,105,50,10,16,185,0,1499
Panasonic Lumix DMC-FX10,105,50,5,27,155,94,1499
Panasonic Lumix DMC-FX100,100,50,5,27,150,54,1499
Panasonic Lumix DMC-FX12,105,50,5,27,155,94,1499
Panasonic Lumix DMC-FX2,105,50,5,16,148,94,1499
Panasonic Lumix DMC-FX3,105,50,5,13,165,94,299
Panasonic Lumix DMC-FX30,100,50,5,27,162,95,299
Panasonic Lumix DMC-FX33,100,50,5,27,154,95,299
Panasonic Lumix DMC-FX5,105,50,10,16,185,0,1499
Panasonic Lumix DMC-FX50,102,50,5,0,190,98,1499
Panasonic Lumix DMC-FX55,100,50,5,27,165,95,1499
Panasonic Lumix DMC-FX7,105,50,5,16,153,94,1499
Panasonic Lumix DMC-FX8,105,50,5,16,155,94,1499
Panasonic Lumix DMC-FX9,105,50,5,16,155,94,1499
Panasonic Lumix DMC-FZ1,420,30,3,8,354,125,149
Panasonic Lumix DMC-FZ10,420,30,5,16,550,87,149
Panasonic Lumix DMC-FZ18,504,30,1,27,407,118,149
Panasonic Lumix DMC-FZ2,420,30,5,0,350,114,149
Panasonic Lumix DMC-FZ20,432,30,5,16,556,87,149
Panasonic Lumix DMC-FZ3,420,30,5,16,326,108,299
Panasonic Lumix DMC-FZ30,420,30,5,32,740,141,299
Panasonic Lumix DMC-FZ4,420,50,5,8,326,102,149
Panasonic Lumix DMC-FZ5,432,50,5,16,326,108,149
Panasonic Lumix DMC-FZ50,420,30,5,32,734,141,149
Panasonic Lumix DMC-FZ7,432,30,5,16,340,113,149
Panasonic Lumix DMC-FZ8,432,30,5,27,340,113,149
Panasonic Lumix DMC-L1,0,0,0,0,606,146,1499
Panasonic Lumix DMC-L10,0,0,0,0,556,135,1499
Panasonic Lumix DMC-LC1,90,30,30,16,705,135,1499
Panasonic Lumix DMC-LC20,105,50,15,8,290,99,1499
Panasonic Lumix DMC-LC33,105,50,10,32,215,96,1499
Panasonic Lumix DMC-LC40,100,30,6,16,420,104,1499
Panasonic Lumix DMC-LC43,105,50,10,32,215,96,1499
Panasonic Lumix DMC-LC5,100,30,6,32,435,128,1499
Panasonic Lumix DMC-LC50,105,50,10,16,210,65,1499
Panasonic Lumix DMC-LC70,105,50,10,16,210,65,1499
Panasonic Lumix DMC-LC80,105,50,10,16,207,88,1499
Panasonic Lumix DMC-LS1,105,50,5,14,188,94,1499
Panasonic Lumix DMC-LS2,105,50,5,14,188,111,1499
Panasonic Lumix DMC-LS60,105,50,5,27,188,94,149
Panasonic Lumix DMC-LS75,105,50,5,27,188,94,1499
Panasonic Lumix DMC-LX1,112,50,5,32,220,106,1499
Panasonic Lumix DMC-LX2,112,50,5,13,220,106,1499
Panasonic Lumix DMC-LZ1,222,50,5,14,224,101,149
Panasonic Lumix DMC-LZ2,222,50,5,14,224,101,149
Panasonic Lumix DMC-LZ3,222,50,5,14,230,100,149
Panasonic Lumix DMC-LZ5,222,50,5,14,230,100,149
Panasonic Lumix DMC-LZ6,222,50,5,27,230,99,149
Panasonic Lumix DMC-LZ7,222,50,5,27,234,99,149
Panasonic Lumix DMC-TZ1,350,40,5,13,250,112,299
Panasonic Lumix DMC-TZ2,280,50,5,13,260,105,299
Panasonic Lumix DMC-TZ3,280,50,5,13,280,105,299
Pentax EI-100,42,60,30,8,240,105,509
Pentax EI-200,108,50,10,16,390,128,509
Pentax EI-2000,108,50,10,16,630,144,509
Pentax *ist D,0,0,0,0,650,129,799
Pentax *ist DL,0,0,0,0,565,125,799
Pentax *ist DL2,0,0,0,0,565,125,799
Pentax *ist DS,0,0,0,0,605,125,799
Pentax *ist DS2,0,0,0,0,605,125,799
Pentax K100D,0,0,0,0,660,129,509
Pentax K100D Super,0,0,0,0,646,129,509
Pentax K10D,0,0,0,0,793,142,799
Pentax K110D,0,0,0,0,585,129,509
Pentax Optio 230,114,50,10,16,230,104,269
Pentax Optio 30,114,50,2,16,180,94,149
Pentax Optio 330,111,40,14,16,240,92,269
Pentax Optio 330GS,114,4,5,16,230,104,269
Pentax Optio 330RS,111,40,14,16,240,92,269
Pentax Optio 33L,114,40,10,16,225,105,269
Pentax Optio 33LF,114,40,10,12,225,109,269
Pentax Optio 33WR,104,30,1,16,208,82,269
Pentax Optio 430,111,40,14,16,240,92,269
Pentax Optio 430RS,111,40,14,16,240,92,269
Pentax Optio 43WR,104,30,1,16,200,82,269
Pentax Optio 450,187,60,2,16,250,100,149
Pentax Optio 50,96,50,6,12,180,91,149
Pentax Optio 550,187,60,2,16,250,100,149
Pentax Optio 555,187,60,2,16,250,100,149
Pentax Optio 60,108,50,5,12,200,91,149
Pentax Optio 750Z,187,60,2,32,255,100,149
Pentax Optio A10,114,35,6,24,145,89,249
Pentax Optio A20,114,35,6,22,145,89,149
Pentax Optio A30,114,35,6,22,145,89,269
Pentax Optio E10,102,50,5,10,180,87,149
Pentax Optio E20,102,50,5,13,180,90,149
Pentax Optio E30,108,50,15,11,190,95,149
Pentax Optio E40,112,40,15,10,175,94,149
Pentax Optio M10,105,70,10,22,170,89,249
Pentax Optio M20,114,40,5,22,180,94,149
Pentax Optio M30,114,40,10,22,120,97,269
Pentax Optio M40,108,40,5,21,136,97,149
Pentax Optio MX4,370,40,10,16,375,73,149
Pentax Optio S,105,40,6,16,115,83,149
Pentax Optio S10,114,35,6,22,116,86,249
Pentax Optio S30,114,40,6,11,175,89,269
Pentax Optio S4,105,40,6,11,115,83,149
Pentax Optio S40,105,40,6,11,175,89,149
Pentax Optio S45,107,40,6,11,155,89,149
Pentax Optio S4i,105,40,6,10,120,84,149
Pentax Optio S50,107,40,6,11,180,89,149
Pentax Optio S55,107,40,6,11,155,89,149
Pentax Optio S5i,107,40,6,10,120,84,149
Pentax Optio S5n,107,40,6,9,120,84,149
Pentax Optio S5z,107,40,6,9,120,83,149
Pentax Optio S6,112,40,15,23,120,86,149
Pentax Optio S60,106,40,6,11,135,89,149
Pentax Optio S7,112,40,15,23,120,86,149
Pentax Optio SV,180,60,3,32,165,91,149
Pentax Optio SVi,180,60,3,32,165,91,149
Pentax Optio T10,112,40,15,12,155,95,249
Pentax Optio T20,112,40,15,12,155,95,149
Pentax Optio T30,112,40,15,20,155,95,269
Pentax Optio W10,114,40,1,10,160,107,269
Pentax Optio W20,114,40,1,21,150,107,269
Pentax Optio W30,114,40,1,21,155,108,269
Pentax Optio WP,114,40,1,10,135,102,269
Pentax Optio WPi,114,40,1,10,135,102,269
Pentax Optio X,107,40,6,14,145,112,149
Pentax Optio Z10,266,40,8,0,0,94,249
Ricoh Caplio 500G,85,30,1,26,450,133,229
Ricoh Caplio R1V,135,30,1,12,195,100,99
Ricoh Caplio R2,135,30,1,28,195,100,99
Ricoh Caplio R3,200,30,1,26,165,95,99
Ricoh Caplio R30,160,30,1,28,180,95,99
Ricoh Caplio R4,200,30,1,26,165,95,99
Ricoh Caplio R40,160,30,1,26,165,95,199
Ricoh Caplio R5,200,30,1,26,165,96,99
Ricoh Caplio R6,200,30,1,54,165,100,99
Ricoh Caplio R7,200,30,1,24,135,100,99
Ricoh Caplio RR530,96,30,1,12,190,91,399
Ricoh Caplio RR630,108,50,6,12,200,91,399
Ricoh Caplio G3,105,30,1,8,230,124,99
Ricoh GR Digital,28,30,2,26,200,107,4999
Ricoh Caplio GX100,72,30,1,26,260,112,399
Ricoh Caplio GX8,85,30,1,26,260,114,99
Ricoh RDC-200G,114,4,4,8,500,144,399
Ricoh RDC-4300,105,40,8,4,320,135,149
Ricoh RDC-5000,86,40,4,8,340,131,149
Ricoh RDC-5300,114,40,4,8,380,131,177
Ricoh RDC-6000,40,30,13,8,300,110,149
Ricoh RDC-7,105,24,1,8,320,135,1699
Ricoh RDC-i500,105,24,1,8,320,142,4999
Ricoh RDC-i700,105,24,1,8,450,157,149
Ricoh Caplio RR1,105,24,1,8,340,135,99
Ricoh Caplio RX,100,30,1,8,215,112,99
Samsung Digimax A50,105,80,5,11,185,107,229
Samsung Digimax A502,31,100,2,16,175,97,229
Samsung Digimax A55W,135,60,1,32,185,106,229
Samsung Digimax 130,43,80,40,8,250,106,299
Samsung Digimax 202,47,120,19,6,135,98,229
Samsung Digimax 230,100,80,20,0,0,0,229
Samsung Digimax 250,76,80,15,6,210,107,229
Samsung Digimax 301,33,10,19,16,137,98,299
Samsung Digimax 350SE,102,80,20,0,320,114,229
Samsung Digimax 370,114,80,5,0,157,108,229
Samsung Digimax 401,33,10,19,16,137,98,299
Samsung Digimax 410,102,80,20,0,340,116,229
Samsung Digimax 430,114,80,5,32,210,107,229
Samsung Digimax 530,114,80,6,32,195,110,229
Samsung Digimax V4,114,80,6,0,210,106,229
Samsung GX-10,0,0,0,0,793,142,199
Samsung GX-1L,0,0,0,0,570,125,299
Samsung GX-1S,0,0,0,0,605,125,299
Samsung Digimax i5,117,50,5,50,155,90,229
Samsung Digimax i6,117,50,1,45,0,96,229
Samsung i7,114,80,5,450,210,101,119
Samsung i70,114,80,5,20,180,90,199
Samsung i85,108,80,5,173,0,95,149
Samsung L83T,114,80,5,19,160,93,229
Samsung L700,105,80,5,20,170,97,199
Samsung L73,105,80,5,19,180,98,119
Samsung L730,114,80,10,16,183,95,99
Samsung L74 Wide,101,80,5,450,210,105,119
Samsung L77,266,80,10,0,0,94,119
Samsung L830,114,80,5,10,183,95,99
Samsung NV10,105,80,4,20,190,97,229
Samsung NV11,190,80,1,0,240,107,229
Samsung NV15,102,80,4,20,0,97,229
Samsung NV20,102,80,4,20,0,97,229
Samsung NV3,114,80,1,15,155,95,229
Samsung NV7 OPS,270,80,1,19,290,106,229
Samsung NV8,102,80,4,20,0,97,229
Samsung Pro815,420,10,3,0,910,136,299
Samsung S1030,105,80,4,45,220,100,199
Samsung S1050,190,80,1,45,254,105,199
Samsung S630,105,80,5,16,186,100,99
Samsung S730,105,80,5,16,186,100,99
Samsung S830,105,80,4,45,220,100,99
Samsung S85,190,80,1,20,204,100,149
Samsung S850,190,80,1,20,222,104,149
Samsung Digimax U-CA 3,114,80,5,0,134,102,229
Samsung Digimax U-CA 4,105,80,5,0,169,102,229
Samsung Digimax U-CA 401,35,60,6,0,165,97,229
Samsung Digimax V40,113,80,5,0,230,106,229
Samsung Digimax V5,114,80,5,0,180,106,229
Samsung Digimax V50,113,80,5,256,230,106,229
Samsung Digimax V6,114,80,6,0,220,106,229
Samsung Digimax V700,114,80,4,128,220,106,229
Samsung Digimax V800,114,80,4,32,220,106,229
Sanyo DSC-AZ1,98,50,10,16,340,106,429
Sanyo DSC-J1,104,20,2,8,205,98,429
Sanyo DSC-S1,108,50,16,8,190,100,149
Sanyo Xacti DSC-S3,112,50,2,16,185,91,1399
Sanyo Xacti DSC-S4,105,50,2,16,185,91,1399
Sanyo DSC-MZ1,98,50,10,8,340,106,429
Sanyo VPC-X350,38,60,10,4,260,105,149
Sanyo VPC-Z400,102,80,20,4,350,128,149
Sigma DP1,28,0,0,0,270,109,1599
Sigma SD10,0,0,0,0,950,152,1599
Sigma SD14,0,0,0,0,750,144,19
Sigma SD9,0,0,0,0,950,152,19
Sony Mavica FD-91,518,80,3,1,950,140,1399
Sony Mavica CD1000,370,80,3,8,980,125,1399
Sony Mavica CD200,117,50,3,8,620,144,1399
Sony Mavica CD250,123,50,3,6,610,138,1399
Sony Mavica CD300,102,50,4,8,620,144,1399
Sony Mavica CD350,123,50,10,1,522,132,1399
Sony Mavica CD400,102,50,4,6,640,138,1399
Sony Mavica CD500,102,50,4,1,606,139,1399
Sony DSC-D700,140,20,0,8,900,130,149
Sony DSC-D770,140,20,0,8,900,130,149
Sony DSC-F505,190,80,8,4,475,107,149
Sony DSC-F505V,190,50,2,8,482,107,149
Sony DSC-F55,37,50,10,4,300,103,429
Sony DSC-F55V,37,25,10,8,280,103,429
Sony DSC-F707,190,50,2,16,667,162,149
Sony DSC-F717,190,50,2,32,659,162,149
Sony DSC-F828,200,50,2,0,906,134,429
Sony DSC-F88,114,50,8,32,202,98,429
Sony DSC-G1,114,50,8,2,238,93,429
Sony DSC-H1,432,50,2,32,591,108,429
Sony DSC-H2,432,50,2,32,490,108,429
Sony DSC-H3,380,50,2,31,264,106,429
Sony DSC-H5,432,50,2,32,490,108,429
Sony DSC-H7,465,50,2,31,405,110,429
Sony DSC-H9,465,50,2,31,440,110,429
Sony DSC-L1,96,12,12,16,152,95,429
Sony DSC-M1,114,50,8,32,215,51,429
Sony DSC-M2,114,50,1,32,240,51,399
Sony DSC-N1,114,50,6,32,139,94,429
Sony DSC-N2,114,50,6,32,139,94,399
Sony DSC-P1,117,50,10,8,250,114,429
Sony DSC-P10,114,50,10,32,206,105,149
Sony DSC-P100,114,50,10,32,180,108,149
Sony DSC-P150,114,50,6,32,180,108,149
Sony DSC-P2,117,50,10,16,214,114,399
Sony DSC-P20,42,60,3,4,230,123,399
Sony DSC-P200,114,50,6,32,180,104,399
Sony DSC-P3,36,25,10,8,194,113,429
Sony DSC-P30,123,50,3,4,250,143,149
Sony DSC-P31,33,10,10,8,231,106,429
Sony DSC-P32,33,10,10,16,217,101,429
Sony DSC-P41,33,10,10,16,180,106,429
Sony DSC-P5,117,50,10,8,214,113,429
Sony DSC-P50,123,50,3,4,250,143,149
Sony DSC-P51,82,8,8,16,275,127,429
Sony DSC-P52,82,8,8,16,280,123,429
Sony DSC-P7,117,50,10,16,214,114,149
Sony DSC-P71,117,50,10,16,284,125,149
Sony DSC-P72,117,50,10,16,259,120,149
Sony DSC-P73,117,50,10,16,243,116,149
Sony DSC-P8,117,50,10,16,206,105,429
Sony DSC-P9,117,50,10,16,206,113,429
Sony DSC-P92,114,50,10,16,259,120,429
Sony DSC-P93,114,50,10,32,236,117,429
Sony DSC-R1,120,0,0,0,995,139,429
Sony DSC-S30,117,25,3,4,370,113,149
Sony DSC-S40,96,0,0,32,184,99,149
Sony DSC-S50,117,25,3,4,370,113,149
Sony DSC-S60,117,50,10,32,249,97,149
Sony DSC-S600,93,12,0,32,180,100,149
Sony DSC-S650,105,35,5,24,178,91,149
Sony DSC-S70,102,25,4,8,420,117,149
Sony DSC-S700,105,35,5,24,178,91,149
Sony DSC-S75,102,50,4,8,444,125,149
Sony DSC-S800,222,50,2,54,245,93,149
Sony DSC-S85,102,50,4,16,444,125,149
Sony DSC-S90,117,50,10,32,253,97,149
Sony DSC-T1,114,25,1,32,180,91,399
Sony DSC-T10,114,50,1,56,168,90,399
Sony DSC-T100,175,50,1,31,197,92,399
Sony DSC-T11,114,50,8,32,186,103,399
Sony DSC-T20,114,50,1,31,197,90,399
Sony DSC-T200,175,50,1,31,160,94,399
Sony DSC-T3,114,50,8,32,186,90,399
Sony DSC-T30,114,50,1,58,172,95,399
Sony DSC-T33,114,50,8,32,150,99,399
Sony DSC-T5,114,50,8,32,139,94,399
Sony DSC-T50,114,50,1,58,170,95,399
Sony DSC-T7,114,50,8,32,134,92,149
Sony DSC-T9,114,50,1,32,185,90,429
Sony DSC-U10,33,10,10,8,118,85,149
Sony DSC-U20,33,10,10,8,118,85,399
Sony DSC-U30,33,10,10,8,130,85,149
Sony DSC-U40,33,10,10,8,130,83,149
Sony DSC-U50,33,10,10,8,132,100,149
Sony DSC-U60,33,10,10,8,200,60,149
Sony DSC-V1,136,40,10,32,298,99,429
Sony DSC-V3,136,40,10,0,390,120,429
Sony DSC-W1,114,50,6,32,250,91,429
Sony DSC-W100,114,50,6,64,192,94,149
Sony DSC-W200,105,34,5,31,195,91,399
Sony DSC-W30,114,50,2,32,153,90,149
Sony DSC-W35,114,30,2,56,149,90,429
Sony DSC-W5,114,50,6,32,250,91,429
Sony DSC-W50,114,50,2,32,157,89,149
Sony DSC-W55,114,30,2,56,147,90,429
Sony DSC-W7,114,50,6,32,250,91,149
Sony DSC-W70,114,50,2,58,157,89,149
Sony DSC-W80,105,50,4,31,175,91,149
Sony DSC-W90,105,50,4,31,175,91,429
Sony DSLR-A100,0,0,0,0,638,133,599
Sony DSLR-A700,0,0,0,0,768,142,599
Sony Mavica FD-100,111,0,0,1,0,0,1399
Sony Mavica FD-200,111,19,3,1,520,142,1399
Sony Mavica FD-71,400,1,1,1,500,138,1399
Sony Mavica FD-73,400,1,1,1,500,138,1399
Sony Mavica FD-75,400,1,1,1,580,138,1399
Sony Mavica FD-81,111,1,1,1,580,140,1399
Sony Mavica FD-83,111,1,1,1,580,142,1399
Sony Mavica FD-85,111,1,1,1,0,0,1399
Sony Mavica FD-87,117,25,3,1,630,143,1399
Sony Mavica FD-88,270,4,4,1,600,142,1399
Sony Mavica FD-90,270,4,4,1,0,0,1399
Sony Mavica FD-92,328,25,3,1,660,126,1399
Sony Mavica FD-95,370,80,3,1,900,0,1399
Sony Mavica FD-97,390,25,2,1,990,126,1399
Toshiba PDR-3310,105,55,12,8,205,91,177
Toshiba PDR-3330,100,80,10,8,320,116,177
Toshiba PDR-4300,100,80,10,16,0,0,599
Toshiba PDR-5300,105,80,10,16,230,93,177
Toshiba PDR-M1,35,50,9,4,290,123,62
Toshiba PDR-M11,52,90,0,8,240,116,62
Toshiba PDR-M21,39,50,0,8,240,116,177
Toshiba PDR-M25,114,40,8,8,320,105,177
Toshiba PDR-M3,115,90,25,4,380,122,62
Toshiba PDR-M4,40,50,10,8,290,112,62
Toshiba PDR-M5,120,90,25,8,350,130,62
Toshiba PDR-M60,86,50,5,4,320,121,449
Toshiba PDR-M61,114,50,5,8,310,123,62
Toshiba PDR-M65,114,10,10,8,320,120,62
Toshiba PDR-M70,105,80,9,16,390,116,62
Toshiba PDR-M71,98,80,10,8,340,107,62
Toshiba PDR-M81,98,80,10,16,340,107,62
Toshiba PDR-T10,38,40,20,8,180,86,129
